,cod_transacao,cod_calendario,cod_operacoes,cod_produto,quantidade_produto,cod_cliente,cod_servico,quantidade_servico,data_criacao,data_alteracao
37,9f8fe2e5,196,3,201,5,1aaa9d3a,,,2026-07-15,2026-07-15
38,f8ed5da1,179,3,202,4,a638b4b0,,,2026-07-15,2026-07-15
39,4238b640,34,6,203,1,ae76cc5c,,,2026-07-15,2026-07-15
40,b9e96593,378,7,205,4,f12d0983,,,2026-07-15,2026-07-15
41,60f76f7d,381,1,202,1,d92199d8,,,2026-07-15,2026-07-15
42,0fff82d2,171,1,201,1,ae0deda5,,,2026-07-15,2026-07-15
43,2f0bd4dc,572,4,204,3,e1e17a72,,,2026-07-15,2026-07-15
44,115de18e,35,2,204,1,63baf574,,,2026-07-15,2026-07-15
45,ec6f8a8b,296,1,204,3,63baf574,,,2026-07-15,2026-07-15
46,9effe7e9,124,3,204,2,247dccf1,,,2026-07-15,2026-07-15
47,81e27f16,684,6,201,4,6780333b,,,2026-07-15,2026-07-15
48,782a83a2,206,6,203,1,0d484e5f,,,2026-07-15,2026-07-15
49,692cff51,416,1,205,2,442d941c,,,2026-07-15,2026-07-15
50,d8fe17cc,46,5,204,4,a84540d1,,,2026-07-15,2026-07-15
51,0feedfda,413,1,201,3,822c1444,,,2026-07-15,2026-07-15
52,e30afe28,490,3,205,4,bd47b713,,,2026-07-15,2026-07-15
53,efc99b44,595,4,202,2,5e4299db,,,2026-07-15,2026-07-15
54,99b4cf56,470,2,203,5,69b06aa6,,,2026-07-15,2026-07-15
55,1a065a6c,215,4,202,4,0cfefde4,,,2026-07-15,2026-07-15
56,4cedf0fb,415,1,204,4,9dd48364,,,2026-07-15,2026-07-15
57,6172e065,364,3,205,3,cee867e3,,,2026-07-15,2026-07-15
58,cc8d199d,499,7,202,4,5482a297,,,2026-07-15,2026-07-15
59,cd952caa,48,5,201,2,42d0014c,,,2026-07-15,2026-07-15
60,8bf0e23a,706,4,205,3,dd3198d1,,,2026-07-15,2026-07-15
61,3c8bb1bc,468,6,204,4,0b6ae467,,,2026-07-15,2026-07-15
62,b0d84a3a,521,7,202,3,aaa7dca8,,,2026-07-15,2026-07-15
63,e5c5caa7,637,3,203,3,6b3185b0,,,2026-07-15,2026-07-15
64,2f9e752f,723,5,201,1,4392286c,,,2026-07-15,2026-07-15
65,9ef87ac8,533,7,205,3,8111bc07,,,2026-07-15,2026-07-15
66,4bb5c007,274,1,204,1,95ec6e5b,,,2026-07-15,2026-07-15
67,51c52584,28,3,204,5,92f2fd13,,,2026-07-15,2026-07-15
68,4692a824,325,7,202,1,6b3185b0,,,2026-07-15,2026-07-15
69,a3552a13,295,4,204,1,5f2ab070,,,2026-07-15,2026-07-15
70,6422808c,291,1,204,1,2d45f6bd,,,2026-07-15,2026-07-15
71,dc3df0f8,137,3,203,4,bc297930,,,2026-07-15,2026-07-15
72,7625f937,140,4,203,3,6a0cd270,,,2026-07-15,2026-07-15
73,9de151b1,296,7,201,1,43b89e78,,,2026-07-15,2026-07-15
74,222b308e,8,5,203,1,1242762d,,,2026-07-15,2026-07-15
75,915af065,530,5,202,5,e89b35ce,,,2026-07-15,2026-07-15
76,6c581271,613,5,205,2,53648c48,,,2026-07-15,2026-07-15
77,1f196082,688,6,205,5,d8a2bbd7,,,2026-07-15,2026-07-15
78,0d16987f,197,7,201,5,03f0acfa,,,2026-07-15,2026-07-15
79,0e74c772,122,2,202,2,dd88df46,,,2026-07-15,2026-07-15
80,618222f5,100,7,205,4,8b319808,,,2026-07-15,2026-07-15
81,b46d1724,632,7,204,5,3fc80484,,,2026-07-15,2026-07-15
82,b0161ad9,257,3,203,3,7b748fb3,,,2026-07-15,2026-07-15
83,963a4f4b,634,5,202,4,112f9cab,,,2026-07-15,2026-07-15
84,c470e18f,544,3,202,3,abeb982e,,,2026-07-15,2026-07-15
85,5b212881,552,3,203,1,45c95088,,,2026-07-15,2026-07-15
86,93f1d633,722,7,202,4,e1e17a72,,,2026-07-15,2026-07-15
87,e1d33f51,322,1,202,2,f2fc7978,,,2026-07-15,2026-07-15
88,138c00d9,170,1,204,4,3832abbc,,,2026-07-15,2026-07-15
89,fa469546,42,5,204,1,cd901af9,,,2026-07-15,2026-07-15
90,44b9ca80,397,5,204,2,6ee48559,,,2026-07-15,2026-07-15
91,5079faa0,522,3,203,5,a84540d1,,,2026-07-15,2026-07-15
92,77128118,372,7,204,5,25faaa82,,,2026-07-15,2026-07-15
93,04c0d80c,144,1,205,2,aefc1727,,,2026-07-15,2026-07-15
94,53e5a56b,511,4,203,3,de084e17,,,2026-07-15,2026-07-15
95,5ff27231,560,5,205,3,01974f0f,,,2026-07-15,2026-07-15
96,dddc8547,441,2,202,3,ee98f97e,,,2026-07-15,2026-07-15
97,f21985f1,670,5,204,1,ae76cc5c,,,2026-07-15,2026-07-15
98,3402ace1,185,6,205,2,0fcaa55a,,,2026-07-15,2026-07-15
99,827123a8,241,5,202,4,32029984,,,2026-07-15,2026-07-15
100,644c28c1,14,1,204,2,6e76c557,,,2026-07-15,2026-07-15
101,c4fffd26,135,5,202,3,c84a0390,,,2026-07-15,2026-07-15
102,4c117875,40,2,204,4,f971e386,,,2026-07-15,2026-07-15
103,c89452ae,41,2,201,2,50987e86,,,2026-07-15,2026-07-15
104,9a67a483,204,4,204,2,247dccf1,,,2026-07-15,2026-07-15
105,bca328db,594,4,202,1,ac535caa,,,2026-07-15,2026-07-15
106,5ff4b345,162,2,202,5,10f10b2b,,,2026-07-15,2026-07-15
107,14557544,597,6,201,2,3f26afe9,,,2026-07-15,2026-07-15
108,7a474e40,361,2,202,2,fdb588e8,,,2026-07-15,2026-07-15
109,3d806d7c,299,4,201,1,ac2c30bf,,,2026-07-15,2026-07-15
110,263ca1f2,51,2,203,1,e75bb09b,,,2026-07-15,2026-07-15
111,cda33dc7,541,1,204,2,b716556b,,,2026-07-15,2026-07-15
112,2a4b2a8f,539,2,205,3,367ca016,,,2026-07-15,2026-07-15
113,aa6754b0,416,4,205,4,7bc42b05,,,2026-07-15,2026-07-15
114,839bc417,212,7,203,4,195b4c1c,,,2026-07-15,2026-07-15
115,f9c32f5c,461,7,204,3,7a5bc5c2,,,2026-07-15,2026-07-15
116,f16e82e4,509,6,205,3,aaa7dca8,,,2026-07-15,2026-07-15
117,4518f7ba,534,7,202,2,944084a9,,,2026-07-15,2026-07-15
118,8a1b26ec,595,3,204,1,62bfa0d9,,,2026-07-15,2026-07-15
119,dc9333b2,585,5,205,5,021c675d,,,2026-07-15,2026-07-15
120,e381c158,221,3,202,1,ec486749,,,2026-07-15,2026-07-15
121,67c30385,82,1,203,4,367ca016,,,2026-07-15,2026-07-15
122,0e996854,444,5,201,3,f169683e,,,2026-07-15,2026-07-15
123,cd5f7b97,53,3,202,4,13a46227,,,2026-07-15,2026-07-15
124,cbd95032,699,2,201,4,548dc0b3,,,2026-07-15,2026-07-15
125,21fcc79b,242,1,204,1,718406a2,,,2026-07-15,2026-07-15
126,900b8fa0,127,3,201,2,4363b8d6,,,2026-07-15,2026-07-15
127,3b942e89,507,4,202,3,3110a49a,,,2026-07-15,2026-07-15
128,eb8fa5d5,281,6,201,3,e6d45de3,,,2026-07-15,2026-07-15
129,c860f6ff,232,5,201,5,5905a3e7,,,2026-07-15,2026-07-15
130,890431a4,307,7,201,3,7704f92c,,,2026-07-15,2026-07-15
131,0085606c,581,1,204,5,e03caed0,,,2026-07-15,2026-07-15
132,f1f50ceb,633,4,202,4,0fcaa55a,,,2026-07-15,2026-07-15
133,5d7501d7,97,2,202,3,fdb588e8,,,2026-07-15,2026-07-15
134,833cdb50,263,6,201,2,bde42cc1,,,2026-07-15,2026-07-15
135,7f4b2823,380,3,202,2,4db20d32,,,2026-07-15,2026-07-15
136,34229b09,170,5,204,2,91c9bcd7,,,2026-07-15,2026-07-15
137,3f9e93c8,16,2,203,3,27c530c5,,,2026-07-15,2026-07-15
138,413532fd,375,4,203,2,6b71e7b7,,,2026-07-15,2026-07-15
139,ebcdc596,258,6,205,3,57be6156,,,2026-07-15,2026-07-15
140,d3724092,344,4,203,1,943eab83,,,2026-07-15,2026-07-15
141,13c13901,719,6,201,1,f399f8e1,,,2026-07-15,2026-07-15
142,eed31a57,116,2,201,1,9efecf41,,,2026-07-15,2026-07-15
143,554131df,217,1,205,1,63369e6c,,,2026-07-15,2026-07-15
144,a9366da0,195,3,203,3,367ca016,,,2026-07-15,2026-07-15
145,9f5f8a59,528,3,205,5,0a18e760,,,2026-07-15,2026-07-15
146,2ebc5051,266,4,201,1,ef5f41ce,,,2026-07-15,2026-07-15
147,f8c9b241,387,3,202,3,ada44e5b,,,2026-07-15,2026-07-15
148,a7878836,264,4,205,2,2d45f6bd,,,2026-07-15,2026-07-15
149,beccee1d,720,1,201,2,e224a8c6,,,2026-07-15,2026-07-15
150,6ec3d258,84,6,203,4,163d0b32,,,2026-07-15,2026-07-15
151,da459853,613,3,201,4,e03caed0,,,2026-07-15,2026-07-15
152,a8c8dc55,89,7,203,5,25b7eced,,,2026-07-15,2026-07-15
153,7f574a65,492,6,201,4,a638b4b0,,,2026-07-15,2026-07-15
154,25baa6ac,123,4,204,3,6b6d0941,,,2026-07-15,2026-07-15
155,ef3789ba,494,7,205,5,7fddfb89,,,2026-07-15,2026-07-15
156,268356cb,220,2,205,4,c05e9193,,,2026-07-15,2026-07-15
157,0141d035,352,5,203,1,19a61dd4,,,2026-07-15,2026-07-15
158,f2f6f013,99,5,205,2,b730e9e6,,,2026-07-15,2026-07-15
159,f9d39dc4,642,3,202,1,c6934f84,,,2026-07-15,2026-07-15
160,b21eed68,96,3,203,2,6a0cd270,,,2026-07-15,2026-07-15
161,b114ab39,92,1,201,3,6e76c557,,,2026-07-15,2026-07-15
162,375a4641,319,6,205,3,3cc541a7,,,2026-07-15,2026-07-15
163,937b054d,642,2,201,3,a93aa731,,,2026-07-15,2026-07-15
164,f922d852,190,5,203,1,9ac47356,,,2026-07-15,2026-07-15
165,eb4cd65f,686,6,202,3,3c63e5d3,,,2026-07-15,2026-07-15
166,c35cff58,467,7,201,1,2a9b3aaa,,,2026-07-15,2026-07-15
167,728ea4ee,389,2,204,1,fdb588e8,,,2026-07-15,2026-07-15
168,38960189,219,1,202,2,e75bb09b,,,2026-07-15,2026-07-15
169,b80adc13,509,1,205,4,4ba49536,,,2026-07-15,2026-07-15
170,3eea8b6f,37,6,204,5,d8edbef1,,,2026-07-15,2026-07-15
171,f0e27cee,452,2,201,1,1f937553,,,2026-07-15,2026-07-15
172,9e8a8831,374,5,204,4,2dcdeda3,,,2026-07-15,2026-07-15
173,6dad9676,30,2,202,1,f399f8e1,,,2026-07-15,2026-07-15
174,d4a386ee,653,6,201,3,f169683e,,,2026-07-15,2026-07-15
175,e1d2a782,177,5,204,4,a8a7db6d,,,2026-07-15,2026-07-15
176,7ddbc961,602,3,203,2,a79b76cb,,,2026-07-15,2026-07-15
177,f1c7f75d,169,5,205,2,5ae61d1c,,,2026-07-15,2026-07-15
178,d5fe46f5,180,1,205,3,38daf3c5,,,2026-07-15,2026-07-15
179,e19b4597,595,1,202,2,38daf3c5,,,2026-07-15,2026-07-15
180,28351f1a,505,4,202,3,aefc1727,,,2026-07-15,2026-07-15
181,e8193f23,318,4,202,1,6f28469e,,,2026-07-15,2026-07-15
182,6c43989b,271,2,202,2,1e4cea7e,,,2026-07-15,2026-07-15
183,750d0e93,17,3,203,2,9e7dae2e,,,2026-07-15,2026-07-15
184,2776f915,84,4,205,5,6b71e7b7,,,2026-07-15,2026-07-15
185,6fb3ba57,61,3,205,1,827ac471,,,2026-07-15,2026-07-15
186,94f67855,381,5,205,5,7643c1ee,,,2026-07-15,2026-07-15
187,47c12a5c,118,1,201,1,77449c06,,,2026-07-15,2026-07-15
188,f7ff828a,640,5,201,5,b730e9e6,,,2026-07-15,2026-07-15
189,64de867b,105,5,205,3,ef5f41ce,,,2026-07-15,2026-07-15
190,ea830dfe,685,1,202,4,ce1b52ae,,,2026-07-15,2026-07-15
191,6c124db9,691,4,203,4,dd410d5f,,,2026-07-15,2026-07-15
192,4023dafd,338,5,202,2,5f2ab070,,,2026-07-15,2026-07-15
193,634ea134,627,6,204,2,3832abbc,,,2026-07-15,2026-07-15
194,61468985,621,2,201,5,718406a2,,,2026-07-15,2026-07-15
195,1068fe62,380,1,202,2,10f10b2b,,,2026-07-15,2026-07-15
196,7fc5e88c,229,1,205,2,1e59121b,,,2026-07-15,2026-07-15
197,1713f34e,163,6,205,5,4907af8c,,,2026-07-15,2026-07-15
198,4f18c6b1,245,3,201,1,4ce20b01,,,2026-07-15,2026-07-15
199,86c1fb00,673,1,201,4,6568690c,,,2026-07-15,2026-07-15
200,667e8407,95,2,203,5,5e4299db,,,2026-07-15,2026-07-15
201,c5924cbb,44,6,203,3,4d5e252e,,,2026-07-15,2026-07-15
202,afd13b1d,522,6,204,3,4db20d32,,,2026-07-15,2026-07-15
203,a14ab02f,686,2,205,1,d8b06558,,,2026-07-15,2026-07-15
204,81a76ac4,102,7,204,5,0a18e760,,,2026-07-15,2026-07-15
205,6ad1a82d,451,5,203,2,2a9b3aaa,,,2026-07-15,2026-07-15
206,ca5c5852,290,2,202,3,c50cc14e,,,2026-07-15,2026-07-15
207,a8d48f69,43,1,202,5,822c1444,,,2026-07-15,2026-07-15
208,042a5820,611,2,205,2,e75bb09b,,,2026-07-15,2026-07-15
209,76501569,320,3,204,4,53648c48,,,2026-07-15,2026-07-15
210,8ae468c8,313,3,203,5,eb3c1fb7,,,2026-07-15,2026-07-15
211,7cb151f8,162,5,202,1,c1b30594,,,2026-07-15,2026-07-15
212,05c42e9f,689,7,205,5,3c63e5d3,,,2026-07-15,2026-07-15
213,e5ec6108,616,6,203,5,b244f9d6,,,2026-07-15,2026-07-15
214,60cf8e83,575,3,204,3,01974f0f,,,2026-07-15,2026-07-15
215,b03580b4,187,7,203,4,c3a6c571,,,2026-07-15,2026-07-15
216,de7573d3,27,5,204,5,f27a730c,,,2026-07-15,2026-07-15
217,44926dcd,614,4,204,1,5a5bf759,,,2026-07-15,2026-07-15
218,48d74955,428,3,205,5,92f2fd13,,,2026-07-15,2026-07-15
219,bb08227c,94,2,202,2,b4065ef4,,,2026-07-15,2026-07-15
220,8b35b18f,570,5,203,3,e89b35ce,,,2026-07-15,2026-07-15
221,3400152b,632,7,202,3,58954ba4,,,2026-07-15,2026-07-15
222,42689428,262,3,202,5,6ef9ace3,,,2026-07-15,2026-07-15
223,b544357e,228,5,201,2,641c61ac,,,2026-07-15,2026-07-15
224,82d3de08,631,4,205,4,25faaa82,,,2026-07-15,2026-07-15
225,2f18ffb7,91,4,203,2,7fddfb89,,,2026-07-15,2026-07-15
226,005bfa1e,201,1,203,2,b03540b1,,,2026-07-15,2026-07-15
227,4c18dc1d,679,2,203,1,74258308,,,2026-07-15,2026-07-15
228,b1e3ae18,286,1,201,4,3d6a9dc8,,,2026-07-15,2026-07-15
229,dccbe9b6,441,5,201,1,86613e2d,,,2026-07-15,2026-07-15
230,484c9d0f,471,3,203,1,5a5bf759,,,2026-07-15,2026-07-15
231,cee5d197,26,5,204,5,1e6e7fcd,,,2026-07-15,2026-07-15
232,c9a31615,574,5,201,5,0b454108,,,2026-07-15,2026-07-15
233,6c03ac9d,337,3,201,1,fa578b09,,,2026-07-15,2026-07-15
234,c34e29d7,383,2,203,5,719fa89e,,,2026-07-15,2026-07-15
235,0e86b9d5,377,7,201,3,8ad52b25,,,2026-07-15,2026-07-15
236,a0d4bfa1,306,4,204,5,c475f6fc,,,2026-07-15,2026-07-15
237,e20fe6c5,426,1,205,3,72bc630e,,,2026-07-15,2026-07-15
238,ef13f6de,701,6,204,1,e942aab7,,,2026-07-15,2026-07-15
239,2ff3992e,396,1,205,4,718406a2,,,2026-07-15,2026-07-15
240,bf49ee35,641,2,201,4,bed1ac6c,,,2026-07-15,2026-07-15
241,579011e9,536,1,201,5,970e594b,,,2026-07-15,2026-07-15
242,ace17cbd,680,4,202,1,ce1b52ae,,,2026-07-15,2026-07-15
243,409fe01e,108,6,201,2,a79b76cb,,,2026-07-15,2026-07-15
244,a6249edf,199,7,204,4,a1ba575a,,,2026-07-15,2026-07-15
245,f21abeec,439,3,201,4,99fed753,,,2026-07-15,2026-07-15
246,fbed127a,127,2,205,5,c3a6c571,,,2026-07-15,2026-07-15
247,0a4a549e,79,7,204,2,f27bb490,,,2026-07-15,2026-07-15
248,c7fe318f,685,5,201,1,036ada7f,,,2026-07-15,2026-07-15
249,40f387cc,388,3,205,4,c6934f84,,,2026-07-15,2026-07-15
250,fde769f6,178,1,205,4,c50cc14e,,,2026-07-15,2026-07-15
251,ecda91ba,319,1,205,5,b755ebae,,,2026-07-15,2026-07-15
252,023257ea,426,7,204,4,750687ab,,,2026-07-15,2026-07-15
253,9825d6f0,229,5,204,1,cb8ec133,,,2026-07-15,2026-07-15
254,9e05385a,75,7,203,5,2dcdeda3,,,2026-07-15,2026-07-15
255,52165fd1,152,2,204,2,1dc2bf91,,,2026-07-15,2026-07-15
256,9babe44e,664,5,203,2,fdb588e8,,,2026-07-15,2026-07-15
257,224d027c,632,5,204,4,208d275a,,,2026-07-15,2026-07-15
258,653875e8,460,1,201,5,fb5ef791,,,2026-07-15,2026-07-15
259,f97e5068,365,3,205,1,d1cd1e4d,,,2026-07-15,2026-07-15
260,432939c5,401,3,205,2,fb87e33d,,,2026-07-15,2026-07-15
261,533d0aae,593,5,204,3,8d3cc46f,,,2026-07-15,2026-07-15
262,10428405,407,6,203,1,750687ab,,,2026-07-15,2026-07-15
263,53a9db42,79,2,205,5,bd4a772f,,,2026-07-15,2026-07-15
264,3baa9ee9,392,4,204,5,92f2fd13,,,2026-07-15,2026-07-15
265,78172594,114,2,201,3,369a8438,,,2026-07-15,2026-07-15
266,1c70676e,722,4,202,3,a30580a1,,,2026-07-15,2026-07-15
267,408a5728,523,5,205,3,a040e169,,,2026-07-15,2026-07-15
268,8a855994,172,1,202,4,750687ab,,,2026-07-15,2026-07-15
269,163a1386,515,4,201,2,bb9d2955,,,2026-07-15,2026-07-15
270,2e9bdcf6,220,7,201,1,718406a2,,,2026-07-15,2026-07-15
271,bf9d633b,539,5,204,5,021c675d,,,2026-07-15,2026-07-15
272,f3e4f7b3,213,7,203,4,a426a28e,,,2026-07-15,2026-07-15
273,1494339b,487,6,203,1,6a0cd270,,,2026-07-15,2026-07-15
274,de62d11e,392,3,205,1,b427b66b,,,2026-07-15,2026-07-15
275,8d518440,490,6,204,4,c50cc14e,,,2026-07-15,2026-07-15
276,22fb58bb,320,4,205,3,20f9eb9c,,,2026-07-15,2026-07-15
277,09a247a4,583,3,203,4,550393a0,,,2026-07-15,2026-07-15
278,01e2dec0,636,3,205,4,70bfbcda,,,2026-07-15,2026-07-15
279,76ee97bc,258,5,201,1,c50cc14e,,,2026-07-15,2026-07-15
280,8ca698a4,164,1,204,2,8b414a94,,,2026-07-15,2026-07-15
281,c1cbe61e,704,5,202,3,7fddfb89,,,2026-07-15,2026-07-15
282,5efa1372,151,1,205,1,2c42c662,,,2026-07-15,2026-07-15
283,3b30fc60,123,6,204,4,7e1de19d,,,2026-07-15,2026-07-15
284,519c7589,210,7,203,5,bb9d2955,,,2026-07-15,2026-07-15
285,b92fad9a,54,2,203,2,970e594b,,,2026-07-15,2026-07-15
286,9145bf49,488,5,205,4,5f2ab070,,,2026-07-15,2026-07-15
287,d28796e1,141,7,201,4,a638b4b0,,,2026-07-15,2026-07-15
288,9aad50cf,57,7,201,5,8ad52b25,,,2026-07-15,2026-07-15
289,72cec9ba,449,6,203,5,1aaa9d3a,,,2026-07-15,2026-07-15
290,e7dfa3f8,316,3,203,5,f0924da4,,,2026-07-15,2026-07-15
291,f2c1f151,567,4,205,1,0fbfd231,,,2026-07-15,2026-07-15
292,c7130b69,352,1,203,4,7e1de19d,,,2026-07-15,2026-07-15
293,5b562dc0,79,3,202,2,7fddfb89,,,2026-07-15,2026-07-15
294,5d3b479d,336,6,201,4,45c95088,,,2026-07-15,2026-07-15
295,fb1d61b1,623,6,204,4,852032b7,,,2026-07-15,2026-07-15
296,7ae1b484,263,4,202,3,14a4c03c,,,2026-07-15,2026-07-15
297,92072efd,332,7,202,1,719fa89e,,,2026-07-15,2026-07-15
298,6d88af27,621,6,202,2,5a5bf759,,,2026-07-15,2026-07-15
299,b0116943,412,4,201,5,0fbfd231,,,2026-07-15,2026-07-15
300,1e86a38c,506,7,205,5,2dcdeda3,,,2026-07-15,2026-07-15
301,ce602779,43,1,203,2,42d0014c,,,2026-07-15,2026-07-15
302,e65b71f6,490,6,203,4,8b319808,,,2026-07-15,2026-07-15
303,a42b8563,470,1,204,5,86613e2d,,,2026-07-15,2026-07-15
304,daac9f93,2,2,205,3,ada44e5b,,,2026-07-15,2026-07-15
305,b8a896ec,441,2,201,5,0d484e5f,,,2026-07-15,2026-07-15
306,d0572ca9,180,7,205,2,021c675d,,,2026-07-15,2026-07-15
307,1e823421,593,6,202,2,5dff7cb7,,,2026-07-15,2026-07-15
308,7c846af1,334,3,202,3,1b14dcc9,,,2026-07-15,2026-07-15
309,dc96087c,726,7,202,3,641c61ac,,,2026-07-15,2026-07-15
310,8cf51ba6,456,5,201,3,5424e422,,,2026-07-15,2026-07-15
311,6ba47657,721,3,204,2,57be6156,,,2026-07-15,2026-07-15
312,3d2a1b57,321,5,205,5,77449c06,,,2026-07-15,2026-07-15
313,b302790c,687,2,204,2,62bfa0d9,,,2026-07-15,2026-07-15
314,ea9db023,481,4,201,3,e9238f3f,,,2026-07-15,2026-07-15
315,5e863539,660,4,201,2,87830e43,,,2026-07-15,2026-07-15
316,e4aa8473,719,2,205,4,ae0deda5,,,2026-07-15,2026-07-15
317,d65d4753,157,7,203,2,c4cdb41c,,,2026-07-15,2026-07-15
318,368856dc,615,1,202,1,bed1ac6c,,,2026-07-15,2026-07-15
319,6f9a15f9,66,7,201,5,7e1de19d,,,2026-07-15,2026-07-15
320,3f56b06a,167,2,205,3,c4993de9,,,2026-07-15,2026-07-15
321,5c75b25a,470,1,205,1,2e179883,,,2026-07-15,2026-07-15
322,73e988cc,386,1,204,2,d92199d8,,,2026-07-15,2026-07-15
323,dde3b15f,282,1,205,1,3a1572cc,,,2026-07-15,2026-07-15
324,47c9c6eb,347,7,203,4,b716556b,,,2026-07-15,2026-07-15
325,2520f0c9,728,4,205,4,ac2c30bf,,,2026-07-15,2026-07-15
326,e4357d83,286,2,201,5,b03540b1,,,2026-07-15,2026-07-15
327,104e4d04,693,7,205,5,3184736b,,,2026-07-15,2026-07-15
328,0027b229,449,2,205,5,b3125078,,,2026-07-15,2026-07-15
329,20d6afcd,276,1,205,4,77449c06,,,2026-07-15,2026-07-15
330,f1139d5a,284,5,204,2,4c309170,,,2026-07-15,2026-07-15
331,3203ed70,10,2,201,5,3832abbc,,,2026-07-15,2026-07-15
332,39d5969c,455,7,203,1,c4993de9,,,2026-07-15,2026-07-15
333,b34227f4,118,1,202,2,11f3df17,,,2026-07-15,2026-07-15
334,81e63399,257,6,203,5,3832abbc,,,2026-07-15,2026-07-15
335,d95a2070,129,5,202,3,fa578b09,,,2026-07-15,2026-07-15
336,c82fa3c5,13,5,203,4,6e76c557,,,2026-07-15,2026-07-15
337,6c7acf3d,449,7,203,5,9dd48364,,,2026-07-15,2026-07-15
338,7680ca97,185,4,202,3,d8b06558,,,2026-07-15,2026-07-15
339,8114ed22,15,7,203,4,f27a730c,,,2026-07-15,2026-07-15
340,5c096527,523,7,203,1,1dc2bf91,,,2026-07-15,2026-07-15
341,24e67e9b,159,5,205,3,c1b30594,,,2026-07-15,2026-07-15
342,51ad7a9e,245,3,202,5,86613e2d,,,2026-07-15,2026-07-15
343,e2757b07,651,6,201,2,ada44e5b,,,2026-07-15,2026-07-15
344,e37ca43e,182,4,204,3,a84540d1,,,2026-07-15,2026-07-15
345,5f906539,543,4,202,5,6601ea7f,,,2026-07-15,2026-07-15
346,46252548,475,7,201,1,e52f5ed8,,,2026-07-15,2026-07-15
347,ebc7a192,330,7,203,1,3929633d,,,2026-07-15,2026-07-15
348,355ec36e,310,6,205,3,41c72cdb,,,2026-07-15,2026-07-15
349,092fc718,176,1,204,3,25faaa82,,,2026-07-15,2026-07-15
350,b90087de,493,2,205,3,5482a297,,,2026-07-15,2026-07-15
351,149731dd,362,1,205,2,ba285e29,,,2026-07-15,2026-07-15
352,ea0f7a8b,51,4,203,2,cb8ec133,,,2026-07-15,2026-07-15
353,688c4f98,655,4,204,3,641c61ac,,,2026-07-15,2026-07-15
354,f0054428,585,3,205,1,ccde9baa,,,2026-07-15,2026-07-15
355,ed96b8e3,342,4,201,2,1aaa9d3a,,,2026-07-15,2026-07-15
