,cod_cliente,cod_endereco,cod_contato,data_primeira_compra,data_criacao,data_alteracao
307,548dc0b3,f9bde49b,adee1f71,1972-08-20,2026-07-15,2026-07-15
309,1df1fe50,2aec4889,8a9c5316,1965-02-04,2026-07-15,2026-07-15
311,84b47f93,161629bf,adee1f71,1973-04-21,2026-07-15,2026-07-15
312,52368d16,3fb19541,fc1567ca,1984-06-05,2026-07-15,2026-07-15
313,66299238,766edd72,bba5daa3,1982-05-01,2026-07-15,2026-07-15
314,ed4939ed,a1496de7,7db3183a,1991-12-02,2026-07-15,2026-07-15
315,43b89e78,8b6e0586,b8b4b600,1990-09-11,2026-07-15,2026-07-15
316,70bfbcda,161629bf,58b1b1e8,1988-07-11,2026-07-15,2026-07-15
318,b755ebae,8b6e0586,52860dfc,1975-01-04,2026-07-15,2026-07-15
319,91c9bcd7,4d6c4235,6cc6efe9,1999-06-18,2026-07-15,2026-07-15
323,6568690c,426ac428,adee1f71,1976-06-16,2026-07-15,2026-07-15
324,10f10b2b,dacc17bd,e2fe4818,1960-12-28,2026-07-15,2026-07-15
325,4943c5d9,540a2009,41dc430f,1987-05-19,2026-07-15,2026-07-15
327,95f70b4e,083d95b8,b69221de,1966-09-12,2026-07-15,2026-07-15
328,8125c6f0,6190b111,8a9c5316,1970-01-13,2026-07-15,2026-07-15
329,a79b76cb,28158ecc,adee1f71,1980-06-17,2026-07-15,2026-07-15
332,45c95088,92231123,603a9b9b,1975-11-19,2026-07-15,2026-07-15
334,163d0b32,0f47650a,3dea0bd0,2000-02-20,2026-07-15,2026-07-15
335,9ac47356,426ac428,390ad17c,1987-09-06,2026-07-15,2026-07-15
336,1e4cea7e,d8237b2f,c5cd3850,1962-08-11,2026-07-15,2026-07-15
338,6ee48559,398335e0,390ad17c,1964-10-15,2026-07-15,2026-07-15
339,d8edbef1,0b30f461,52860dfc,2001-01-13,2026-07-15,2026-07-15
340,35f98e98,67b6c4c2,2313495d,1971-09-07,2026-07-15,2026-07-15
342,de084e17,540a2009,ab3064b7,2001-10-18,2026-07-15,2026-07-15
343,4049e911,535de310,634d6e16,1970-01-09,2026-07-15,2026-07-15
345,b5297bc8,42de26f1,b8b4b600,1965-08-30,2026-07-15,2026-07-15
346,822c1444,f63bfbf1,7db3183a,1983-04-17,2026-07-15,2026-07-15
347,b68bef7e,34afe30d,6532feae,2002-03-26,2026-07-15,2026-07-15
348,195b4c1c,083d95b8,da69f761,1995-10-01,2026-07-15,2026-07-15
350,c578c38f,766edd72,3eb26a8b,1967-01-10,2026-07-15,2026-07-15
351,0fbb521a,f941418d,c5cd3850,1970-10-13,2026-07-15,2026-07-15
353,1242762d,09342ecc,7e723ce9,1971-05-15,2026-07-15,2026-07-15
357,a84540d1,787a2e4f,0e29b4d8,1968-06-30,2026-07-15,2026-07-15
358,fe86a413,9177b969,6532feae,1981-10-06,2026-07-15,2026-07-15
361,a008a294,77584eed,b2741866,1966-11-25,2026-07-15,2026-07-15
365,5e4299db,f90ce529,d75dc0f9,1965-06-07,2026-07-15,2026-07-15
367,7643c1ee,fa217d65,a4adfa27,1976-06-13,2026-07-15,2026-07-15
369,49fdea5f,1e99316d,d0995158,1971-01-20,2026-07-15,2026-07-15
377,dfcfee6c,c6897c21,da69f761,1986-03-11,2026-07-15,2026-07-15
378,289b72c4,0343e04b,bf8a8c16,1961-12-27,2026-07-15,2026-07-15
379,0a18e760,835b284a,ef7e7141,1967-04-04,2026-07-15,2026-07-15
380,c6934f84,14e1e1b8,da69f761,1990-12-24,2026-07-15,2026-07-15
381,ef5f41ce,b5691081,b69221de,1986-06-06,2026-07-15,2026-07-15
384,b4ca029a,bee948e8,b2741866,2002-05-18,2026-07-15,2026-07-15
385,19a61dd4,67b6c4c2,603a9b9b,1997-07-17,2026-07-15,2026-07-15
386,74258308,0b4c1bc9,19ef70de,1996-10-05,2026-07-15,2026-07-15
389,6f28469e,0e835475,b8b4b600,1990-10-03,2026-07-15,2026-07-15
390,e75bb09b,c782d4a2,1ac4b04b,1994-12-27,2026-07-15,2026-07-15
391,5e3a2195,f466859f,b8b4b600,1961-11-11,2026-07-15,2026-07-15
392,77c6d634,05a7e314,418cb37b,1986-06-01,2026-07-15,2026-07-15
394,aaa7dca8,5ee8ce6e,df41bbaf,1978-04-12,2026-07-15,2026-07-15
396,2e179883,b711fc6c,1ac4b04b,1968-02-19,2026-07-15,2026-07-15
397,febfde98,bee948e8,2313495d,1980-12-26,2026-07-15,2026-07-15
398,425b1d3d,5db71ebf,acb1ec0c,1974-02-23,2026-07-15,2026-07-15
399,e3ec02d4,1fcfe7d4,d16ad133,1977-10-02,2026-07-15,2026-07-15
402,b427b66b,0343e04b,69068f18,1961-01-06,2026-07-15,2026-07-15
404,fa578b09,33f863a7,473d81ec,1966-07-06,2026-07-15,2026-07-15
407,c7ead2cc,40b44c65,568a164b,1971-05-25,2026-07-15,2026-07-15
408,e0e8c2a1,dbad6eff,d39679c5,1995-04-05,2026-07-15,2026-07-15
409,d88f6a7f,2956432e,e2fe4818,1994-10-08,2026-07-15,2026-07-15
410,69956359,77584eed,0e29b4d8,1975-01-16,2026-07-15,2026-07-15
411,c4e558ad,787a2e4f,7d815689,1970-05-06,2026-07-15,2026-07-15
412,f248f0c6,2c89bd61,1ef381f5,1961-07-27,2026-07-15,2026-07-15
414,dfe6e1ff,5256f238,d0995158,1969-10-20,2026-07-15,2026-07-15
415,487a1dd7,e616c108,d39679c5,2001-08-09,2026-07-15,2026-07-15
416,cd901af9,7c18545a,df41bbaf,1976-08-12,2026-07-15,2026-07-15
418,60ce4ade,621d4e69,3eb26a8b,1991-07-10,2026-07-15,2026-07-15
420,aece207c,78731fdd,eded57fa,1990-10-04,2026-07-15,2026-07-15
421,a638b4b0,51d4a5fc,3dea0bd0,1994-12-05,2026-07-15,2026-07-15
422,fb5ef791,317d6b82,52860dfc,1983-07-19,2026-07-15,2026-07-15
426,f0758699,60a9248b,52860dfc,1978-07-02,2026-07-15,2026-07-15
433,f6ab1ed5,c6897c21,52860dfc,1973-08-16,2026-07-15,2026-07-15
440,ed90a296,6190b111,c5cd3850,2000-03-04,2026-07-15,2026-07-15
442,ddaa1bf9,05a7e314,5e9b48a9,1983-11-12,2026-07-15,2026-07-15
443,e1e17a72,f1c202d3,b2741866,1985-02-17,2026-07-15,2026-07-15
444,827ac471,9e8e9f66,1ef381f5,1966-09-02,2026-07-15,2026-07-15
446,45592551,763496c5,58b1b1e8,1994-11-16,2026-07-15,2026-07-15
447,f971e386,f92d512b,db0ef916,1995-10-30,2026-07-15,2026-07-15
454,3184736b,8b6e0586,3dea0bd0,1967-02-10,2026-07-15,2026-07-15
455,750687ab,083d95b8,1ef381f5,1989-05-28,2026-07-15,2026-07-15
456,41c72cdb,dacc17bd,df41bbaf,1982-03-07,2026-07-15,2026-07-15
461,1d9305e2,6190b111,41dc430f,1989-05-05,2026-07-15,2026-07-15
462,fdb588e8,426ac428,e2fe4818,1967-02-26,2026-07-15,2026-07-15
463,37354f22,c6e39e42,fc1567ca,1999-07-20,2026-07-15,2026-07-15
