,cod_calendario,data,dia_da_semana,feriado,data_especial
199,200,2025-01-23,quinta-feira,,
200,201,2025-01-24,sexta-feira,,
201,202,2025-01-25,sábado,,
202,203,2025-01-26,domingo,,
203,204,2025-01-27,segunda-feira,,
204,205,2025-01-28,terça-feira,,
205,206,2025-01-29,quarta-feira,,
206,207,2025-01-30,quinta-feira,,
207,208,2025-01-31,sexta-feira,,
208,209,2025-02-01,sábado,,
209,210,2025-02-02,domingo,,
210,211,2025-02-03,segunda-feira,,
211,212,2025-02-04,terça-feira,,
212,213,2025-02-05,quarta-feira,,
213,214,2025-02-06,quinta-feira,,
214,215,2025-02-07,sexta-feira,,
215,216,2025-02-08,sábado,,
216,217,2025-02-09,domingo,,
217,218,2025-02-10,segunda-feira,,
218,219,2025-02-11,terça-feira,,
219,220,2025-02-12,quarta-feira,,
220,221,2025-02-13,quinta-feira,,
221,222,2025-02-14,sexta-feira,,
222,223,2025-02-15,sábado,,
223,224,2025-02-16,domingo,,
224,225,2025-02-17,segunda-feira,,
225,226,2025-02-18,terça-feira,,
226,227,2025-02-19,quarta-feira,,
227,228,2025-02-20,quinta-feira,,
228,229,2025-02-21,sexta-feira,,
229,230,2025-02-22,sábado,,
230,231,2025-02-23,domingo,,
231,232,2025-02-24,segunda-feira,,
232,233,2025-02-25,terça-feira,,
233,234,2025-02-26,quarta-feira,,
234,235,2025-02-27,quinta-feira,,
235,236,2025-02-28,sexta-feira,,
236,237,2025-03-01,sábado,,
237,238,2025-03-02,domingo,,
238,239,2025-03-03,segunda-feira,,
239,240,2025-03-04,terça-feira,,
240,241,2025-03-05,quarta-feira,,
241,242,2025-03-06,quinta-feira,,
242,243,2025-03-07,sexta-feira,,
243,244,2025-03-08,sábado,,
244,245,2025-03-09,domingo,,
245,246,2025-03-10,segunda-feira,,
246,247,2025-03-11,terça-feira,,
247,248,2025-03-12,quarta-feira,,
248,249,2025-03-13,quinta-feira,,
249,250,2025-03-14,sexta-feira,,
250,251,2025-03-15,sábado,,
251,252,2025-03-16,domingo,,
252,253,2025-03-17,segunda-feira,,
253,254,2025-03-18,terça-feira,,
254,255,2025-03-19,quarta-feira,,
255,256,2025-03-20,quinta-feira,,
256,257,2025-03-21,sexta-feira,,
257,258,2025-03-22,sábado,,
258,259,2025-03-23,domingo,,
259,260,2025-03-24,segunda-feira,,
260,261,2025-03-25,terça-feira,,
261,262,2025-03-26,quarta-feira,,
262,263,2025-03-27,quinta-feira,,
263,264,2025-03-28,sexta-feira,,
264,265,2025-03-29,sábado,,
265,266,2025-03-30,domingo,,
266,267,2025-03-31,segunda-feira,,
267,268,2025-04-01,terça-feira,,
268,269,2025-04-02,quarta-feira,,
269,270,2025-04-03,quinta-feira,,
270,271,2025-04-04,sexta-feira,,
271,272,2025-04-05,sábado,,
272,273,2025-04-06,domingo,,
273,274,2025-04-07,segunda-feira,,
274,275,2025-04-08,terça-feira,,
275,276,2025-04-09,quarta-feira,,
276,277,2025-04-10,quinta-feira,,
277,278,2025-04-11,sexta-feira,,
278,279,2025-04-12,sábado,,
279,280,2025-04-13,domingo,,
280,281,2025-04-14,segunda-feira,,
281,282,2025-04-15,terça-feira,,
282,283,2025-04-16,quarta-feira,,
283,284,2025-04-17,quinta-feira,,
284,285,2025-04-18,sexta-feira,,
285,286,2025-04-19,sábado,,
286,287,2025-04-20,domingo,,
287,288,2025-04-21,segunda-feira,Tiradentes,
288,289,2025-04-22,terça-feira,,
289,290,2025-04-23,quarta-feira,,
290,291,2025-04-24,quinta-feira,,
291,292,2025-04-25,sexta-feira,,
292,293,2025-04-26,sábado,,
293,294,2025-04-27,domingo,,
294,295,2025-04-28,segunda-feira,,
295,296,2025-04-29,terça-feira,,
296,297,2025-04-30,quarta-feira,,
297,298,2025-05-01,quinta-feira,Dia do Trabalhador,
298,299,2025-05-02,sexta-feira,,
299,300,2025-05-03,sábado,,
300,301,2025-05-04,domingo,,
301,302,2025-05-05,segunda-feira,,
302,303,2025-05-06,terça-feira,,
303,304,2025-05-07,quarta-feira,,
304,305,2025-05-08,quinta-feira,,
305,306,2025-05-09,sexta-feira,,
306,307,2025-05-10,sábado,,
307,308,2025-05-11,domingo,,
308,309,2025-05-12,segunda-feira,,
309,310,2025-05-13,terça-feira,,
310,311,2025-05-14,quarta-feira,,
311,312,2025-05-15,quinta-feira,,
312,313,2025-05-16,sexta-feira,,
313,314,2025-05-17,sábado,,
314,315,2025-05-18,domingo,,
315,316,2025-05-19,segunda-feira,,
316,317,2025-05-20,terça-feira,,
317,318,2025-05-21,quarta-feira,,
318,319,2025-05-22,quinta-feira,,
319,320,2025-05-23,sexta-feira,,
320,321,2025-05-24,sábado,,
321,322,2025-05-25,domingo,,
322,323,2025-05-26,segunda-feira,,
323,324,2025-05-27,terça-feira,,
324,325,2025-05-28,quarta-feira,,
325,326,2025-05-29,quinta-feira,,
326,327,2025-05-30,sexta-feira,,
327,328,2025-05-31,sábado,,
328,329,2025-06-01,domingo,,
329,330,2025-06-02,segunda-feira,,
330,331,2025-06-03,terça-feira,,
331,332,2025-06-04,quarta-feira,,
332,333,2025-06-05,quinta-feira,,
333,334,2025-06-06,sexta-feira,,
334,335,2025-06-07,sábado,,
335,336,2025-06-08,domingo,,
336,337,2025-06-09,segunda-feira,,
337,338,2025-06-10,terça-feira,,
338,339,2025-06-11,quarta-feira,,
339,340,2025-06-12,quinta-feira,,
340,341,2025-06-13,sexta-feira,,
341,342,2025-06-14,sábado,,
342,343,2025-06-15,domingo,,
343,344,2025-06-16,segunda-feira,,
344,345,2025-06-17,terça-feira,,
345,346,2025-06-18,quarta-feira,,
346,347,2025-06-19,quinta-feira,,
347,348,2025-06-20,sexta-feira,,
348,349,2025-06-21,sábado,,
349,350,2025-06-22,domingo,,
350,351,2025-06-23,segunda-feira,,
351,352,2025-06-24,terça-feira,,
352,353,2025-06-25,quarta-feira,,
353,354,2025-06-26,quinta-feira,,
354,355,2025-06-27,sexta-feira,,
355,356,2025-06-28,sábado,,
356,357,2025-06-29,domingo,,
357,358,2025-06-30,segunda-feira,,
358,359,2025-07-01,terça-feira,,
359,360,2025-07-02,quarta-feira,,
360,361,2025-07-03,quinta-feira,,
361,362,2025-07-04,sexta-feira,,
362,363,2025-07-05,sábado,,
363,364,2025-07-06,domingo,,
364,365,2025-07-07,segunda-feira,,
365,366,2025-07-08,terça-feira,,
366,367,2025-07-09,quarta-feira,,
367,368,2025-07-10,quinta-feira,,
368,369,2025-07-11,sexta-feira,,
369,370,2025-07-12,sábado,,
370,371,2025-07-13,domingo,,
371,372,2025-07-14,segunda-feira,,
372,373,2025-07-15,terça-feira,,
373,374,2025-07-16,quarta-feira,,
374,375,2025-07-17,quinta-feira,,
375,376,2025-07-18,sexta-feira,,
376,377,2025-07-19,sábado,,
377,378,2025-07-20,domingo,,
378,379,2025-07-21,segunda-feira,,
379,380,2025-07-22,terça-feira,,
380,381,2025-07-23,quarta-feira,,
381,382,2025-07-24,quinta-feira,,
382,383,2025-07-25,sexta-feira,,
383,384,2025-07-26,sábado,,
384,385,2025-07-27,domingo,,
385,386,2025-07-28,segunda-feira,,
386,387,2025-07-29,terça-feira,,
387,388,2025-07-30,quarta-feira,,
388,389,2025-07-31,quinta-feira,,
389,390,2025-08-01,sexta-feira,,
390,391,2025-08-02,sábado,,
391,392,2025-08-03,domingo,,
392,393,2025-08-04,segunda-feira,,
393,394,2025-08-05,terça-feira,,
394,395,2025-08-06,quarta-feira,,
395,396,2025-08-07,quinta-feira,,
396,397,2025-08-08,sexta-feira,,
397,398,2025-08-09,sábado,,
398,399,2025-08-10,domingo,,
399,400,2025-08-11,segunda-feira,,
400,401,2025-08-12,terça-feira,,
401,402,2025-08-13,quarta-feira,,
402,403,2025-08-14,quinta-feira,,
403,404,2025-08-15,sexta-feira,,
404,405,2025-08-16,sábado,,
405,406,2025-08-17,domingo,,
406,407,2025-08-18,segunda-feira,,
407,408,2025-08-19,terça-feira,,
408,409,2025-08-20,quarta-feira,,
409,410,2025-08-21,quinta-feira,,
410,411,2025-08-22,sexta-feira,,
411,412,2025-08-23,sábado,,
412,413,2025-08-24,domingo,,
413,414,2025-08-25,segunda-feira,,
414,415,2025-08-26,terça-feira,,
415,416,2025-08-27,quarta-feira,,
416,417,2025-08-28,quinta-feira,,
417,418,2025-08-29,sexta-feira,,
418,419,2025-08-30,sábado,,
419,420,2025-08-31,domingo,,
420,421,2025-09-01,segunda-feira,,
421,422,2025-09-02,terça-feira,,
422,423,2025-09-03,quarta-feira,,
423,424,2025-09-04,quinta-feira,,
424,425,2025-09-05,sexta-feira,,
425,426,2025-09-06,sábado,,
426,427,2025-09-07,domingo,Independência do Brasil,
427,428,2025-09-08,segunda-feira,,
428,429,2025-09-09,terça-feira,,
429,430,2025-09-10,quarta-feira,,
430,431,2025-09-11,quinta-feira,,
431,432,2025-09-12,sexta-feira,,
432,433,2025-09-13,sábado,,
433,434,2025-09-14,domingo,,
434,435,2025-09-15,segunda-feira,,
435,436,2025-09-16,terça-feira,,
436,437,2025-09-17,quarta-feira,,
437,438,2025-09-18,quinta-feira,,
438,439,2025-09-19,sexta-feira,,
439,440,2025-09-20,sábado,,
440,441,2025-09-21,domingo,,
441,442,2025-09-22,segunda-feira,,
442,443,2025-09-23,terça-feira,,
443,444,2025-09-24,quarta-feira,,
444,445,2025-09-25,quinta-feira,,
445,446,2025-09-26,sexta-feira,,
446,447,2025-09-27,sábado,,
447,448,2025-09-28,domingo,,
448,449,2025-09-29,segunda-feira,,
449,450,2025-09-30,terça-feira,,
450,451,2025-10-01,quarta-feira,,
451,452,2025-10-02,quinta-feira,,
452,453,2025-10-03,sexta-feira,,
453,454,2025-10-04,sábado,,
454,455,2025-10-05,domingo,,
455,456,2025-10-06,segunda-feira,,
456,457,2025-10-07,terça-feira,,
457,458,2025-10-08,quarta-feira,,
458,459,2025-10-09,quinta-feira,,
459,460,2025-10-10,sexta-feira,,
460,461,2025-10-11,sábado,,
461,462,2025-10-12,domingo,Nossa Senhora Aparecida,
462,463,2025-10-13,segunda-feira,,
463,464,2025-10-14,terça-feira,,
464,465,2025-10-15,quarta-feira,,
465,466,2025-10-16,quinta-feira,,
466,467,2025-10-17,sexta-feira,,
467,468,2025-10-18,sábado,,
468,469,2025-10-19,domingo,,
469,470,2025-10-20,segunda-feira,,
470,471,2025-10-21,terça-feira,,
471,472,2025-10-22,quarta-feira,,
472,473,2025-10-23,quinta-feira,,
473,474,2025-10-24,sexta-feira,,
474,475,2025-10-25,sábado,,
475,476,2025-10-26,domingo,,
476,477,2025-10-27,segunda-feira,,
477,478,2025-10-28,terça-feira,,
478,479,2025-10-29,quarta-feira,,
479,480,2025-10-30,quinta-feira,,
480,481,2025-10-31,sexta-feira,,
481,482,2025-11-01,sábado,,
482,483,2025-11-02,domingo,Finados,
483,484,2025-11-03,segunda-feira,,
484,485,2025-11-04,terça-feira,,
485,486,2025-11-05,quarta-feira,,
486,487,2025-11-06,quinta-feira,,
487,488,2025-11-07,sexta-feira,,
488,489,2025-11-08,sábado,,
489,490,2025-11-09,domingo,,
490,491,2025-11-10,segunda-feira,,
491,492,2025-11-11,terça-feira,,
492,493,2025-11-12,quarta-feira,,
493,494,2025-11-13,quinta-feira,,
494,495,2025-11-14,sexta-feira,,
495,496,2025-11-15,sábado,Proclamação da República,
496,497,2025-11-16,domingo,,
497,498,2025-11-17,segunda-feira,,
498,499,2025-11-18,terça-feira,,
499,500,2025-11-19,quarta-feira,,
500,501,2025-11-20,quinta-feira,,
501,502,2025-11-21,sexta-feira,,
502,503,2025-11-22,sábado,,
503,504,2025-11-23,domingo,,
504,505,2025-11-24,segunda-feira,,
505,506,2025-11-25,terça-feira,,
506,507,2025-11-26,quarta-feira,,
507,508,2025-11-27,quinta-feira,,
508,509,2025-11-28,sexta-feira,,
509,510,2025-11-29,sábado,,
510,511,2025-11-30,domingo,,
511,512,2025-12-01,segunda-feira,,
512,513,2025-12-02,terça-feira,,
513,514,2025-12-03,quarta-feira,,
514,515,2025-12-04,quinta-feira,,
515,516,2025-12-05,sexta-feira,,
516,517,2025-12-06,sábado,,
517,518,2025-12-07,domingo,,
518,519,2025-12-08,segunda-feira,,
519,520,2025-12-09,terça-feira,,
520,521,2025-12-10,quarta-feira,,
521,522,2025-12-11,quinta-feira,,
522,523,2025-12-12,sexta-feira,,
523,524,2025-12-13,sábado,,
524,525,2025-12-14,domingo,,
525,526,2025-12-15,segunda-feira,,
526,527,2025-12-16,terça-feira,,
527,528,2025-12-17,quarta-feira,,
528,529,2025-12-18,quinta-feira,,
529,530,2025-12-19,sexta-feira,,
530,531,2025-12-20,sábado,,
531,532,2025-12-21,domingo,,
532,533,2025-12-22,segunda-feira,,
533,534,2025-12-23,terça-feira,,
534,535,2025-12-24,quarta-feira,,
535,536,2025-12-25,quinta-feira,Natal,
536,537,2025-12-26,sexta-feira,,
537,538,2025-12-27,sábado,,
538,539,2025-12-28,domingo,,
539,540,2025-12-29,segunda-feira,,
540,541,2025-12-30,terça-feira,,
541,542,2025-12-31,quarta-feira,,
542,543,2026-01-01,quinta-feira,Confraternização Universal,
543,544,2026-01-02,sexta-feira,,
544,545,2026-01-03,sábado,,
545,546,2026-01-04,domingo,,
546,547,2026-01-05,segunda-feira,,
547,548,2026-01-06,terça-feira,,
548,549,2026-01-07,quarta-feira,,
549,550,2026-01-08,quinta-feira,,
550,551,2026-01-09,sexta-feira,,
551,552,2026-01-10,sábado,,
552,553,2026-01-11,domingo,,
553,554,2026-01-12,segunda-feira,,
554,555,2026-01-13,terça-feira,,
555,556,2026-01-14,quarta-feira,,
556,557,2026-01-15,quinta-feira,,
557,558,2026-01-16,sexta-feira,,
558,559,2026-01-17,sábado,,
559,560,2026-01-18,domingo,,
560,561,2026-01-19,segunda-feira,,
561,562,2026-01-20,terça-feira,,
562,563,2026-01-21,quarta-feira,,
563,564,2026-01-22,quinta-feira,,
564,565,2026-01-23,sexta-feira,,
565,566,2026-01-24,sábado,,
566,567,2026-01-25,domingo,,
567,568,2026-01-26,segunda-feira,,
568,569,2026-01-27,terça-feira,,
569,570,2026-01-28,quarta-feira,,
570,571,2026-01-29,quinta-feira,,
571,572,2026-01-30,sexta-feira,,
572,573,2026-01-31,sábado,,
573,574,2026-02-01,domingo,,
574,575,2026-02-02,segunda-feira,,
575,576,2026-02-03,terça-feira,,
576,577,2026-02-04,quarta-feira,,
577,578,2026-02-05,quinta-feira,,
578,579,2026-02-06,sexta-feira,,
579,580,2026-02-07,sábado,,
580,581,2026-02-08,domingo,,
581,582,2026-02-09,segunda-feira,,
582,583,2026-02-10,terça-feira,,
583,584,2026-02-11,quarta-feira,,
584,585,2026-02-12,quinta-feira,,
585,586,2026-02-13,sexta-feira,,
586,587,2026-02-14,sábado,,
587,588,2026-02-15,domingo,,
588,589,2026-02-16,segunda-feira,,
589,590,2026-02-17,terça-feira,,
590,591,2026-02-18,quarta-feira,,
591,592,2026-02-19,quinta-feira,,
592,593,2026-02-20,sexta-feira,,
593,594,2026-02-21,sábado,,
594,595,2026-02-22,domingo,,
595,596,2026-02-23,segunda-feira,,
596,597,2026-02-24,terça-feira,,
597,598,2026-02-25,quarta-feira,,
598,599,2026-02-26,quinta-feira,,
599,600,2026-02-27,sexta-feira,,
600,601,2026-02-28,sábado,,
601,602,2026-03-01,domingo,,
602,603,2026-03-02,segunda-feira,,
603,604,2026-03-03,terça-feira,,
604,605,2026-03-04,quarta-feira,,
605,606,2026-03-05,quinta-feira,,
606,607,2026-03-06,sexta-feira,,
607,608,2026-03-07,sábado,,
608,609,2026-03-08,domingo,,
609,610,2026-03-09,segunda-feira,,
610,611,2026-03-10,terça-feira,,
611,612,2026-03-11,quarta-feira,,
612,613,2026-03-12,quinta-feira,,
613,614,2026-03-13,sexta-feira,,
614,615,2026-03-14,sábado,,
615,616,2026-03-15,domingo,,
616,617,2026-03-16,segunda-feira,,
617,618,2026-03-17,terça-feira,,
618,619,2026-03-18,quarta-feira,,
619,620,2026-03-19,quinta-feira,,
620,621,2026-03-20,sexta-feira,,
621,622,2026-03-21,sábado,,
622,623,2026-03-22,domingo,,
623,624,2026-03-23,segunda-feira,,
624,625,2026-03-24,terça-feira,,
625,626,2026-03-25,quarta-feira,,
626,627,2026-03-26,quinta-feira,,
627,628,2026-03-27,sexta-feira,,
628,629,2026-03-28,sábado,,
629,630,2026-03-29,domingo,,
630,631,2026-03-30,segunda-feira,,
631,632,2026-03-31,terça-feira,,
632,633,2026-04-01,quarta-feira,,
633,634,2026-04-02,quinta-feira,,
634,635,2026-04-03,sexta-feira,,
635,636,2026-04-04,sábado,,
636,637,2026-04-05,domingo,,
637,638,2026-04-06,segunda-feira,,
638,639,2026-04-07,terça-feira,,
639,640,2026-04-08,quarta-feira,,
640,641,2026-04-09,quinta-feira,,
641,642,2026-04-10,sexta-feira,,
642,643,2026-04-11,sábado,,
643,644,2026-04-12,domingo,,
644,645,2026-04-13,segunda-feira,,
645,646,2026-04-14,terça-feira,,
646,647,2026-04-15,quarta-feira,,
647,648,2026-04-16,quinta-feira,,
648,649,2026-04-17,sexta-feira,,
649,650,2026-04-18,sábado,,
650,651,2026-04-19,domingo,,
651,652,2026-04-20,segunda-feira,,
652,653,2026-04-21,terça-feira,Tiradentes,
653,654,2026-04-22,quarta-feira,,
654,655,2026-04-23,quinta-feira,,
655,656,2026-04-24,sexta-feira,,
656,657,2026-04-25,sábado,,
657,658,2026-04-26,domingo,,
658,659,2026-04-27,segunda-feira,,
659,660,2026-04-28,terça-feira,,
660,661,2026-04-29,quarta-feira,,
661,662,2026-04-30,quinta-feira,,
662,663,2026-05-01,sexta-feira,Dia do Trabalhador,
663,664,2026-05-02,sábado,,
664,665,2026-05-03,domingo,,
665,666,2026-05-04,segunda-feira,,
666,667,2026-05-05,terça-feira,,
667,668,2026-05-06,quarta-feira,,
668,669,2026-05-07,quinta-feira,,
669,670,2026-05-08,sexta-feira,,
670,671,2026-05-09,sábado,,
671,672,2026-05-10,domingo,,
672,673,2026-05-11,segunda-feira,,
673,674,2026-05-12,terça-feira,,
674,675,2026-05-13,quarta-feira,,
675,676,2026-05-14,quinta-feira,,
676,677,2026-05-15,sexta-feira,,
677,678,2026-05-16,sábado,,
678,679,2026-05-17,domingo,,
679,680,2026-05-18,segunda-feira,,
680,681,2026-05-19,terça-feira,,
681,682,2026-05-20,quarta-feira,,
682,683,2026-05-21,quinta-feira,,
683,684,2026-05-22,sexta-feira,,
684,685,2026-05-23,sábado,,
685,686,2026-05-24,domingo,,
686,687,2026-05-25,segunda-feira,,
687,688,2026-05-26,terça-feira,,
688,689,2026-05-27,quarta-feira,,
689,690,2026-05-28,quinta-feira,,
690,691,2026-05-29,sexta-feira,,
691,692,2026-05-30,sábado,,
692,693,2026-05-31,domingo,,
693,694,2026-06-01,segunda-feira,,
694,695,2026-06-02,terça-feira,,
695,696,2026-06-03,quarta-feira,,
696,697,2026-06-04,quinta-feira,,
697,698,2026-06-05,sexta-feira,,
698,699,2026-06-06,sábado,,
699,700,2026-06-07,domingo,,
700,701,2026-06-08,segunda-feira,,
701,702,2026-06-09,terça-feira,,
702,703,2026-06-10,quarta-feira,,
703,704,2026-06-11,quinta-feira,,
704,705,2026-06-12,sexta-feira,,
705,706,2026-06-13,sábado,,
706,707,2026-06-14,domingo,,
707,708,2026-06-15,segunda-feira,,
708,709,2026-06-16,terça-feira,,
709,710,2026-06-17,quarta-feira,,
710,711,2026-06-18,quinta-feira,,
711,712,2026-06-19,sexta-feira,,
712,713,2026-06-20,sábado,,
713,714,2026-06-21,domingo,,
714,715,2026-06-22,segunda-feira,,
715,716,2026-06-23,terça-feira,,
716,717,2026-06-24,quarta-feira,,
717,718,2026-06-25,quinta-feira,,
718,719,2026-06-26,sexta-feira,,
719,720,2026-06-27,sábado,,
720,721,2026-06-28,domingo,,
721,722,2026-06-29,segunda-feira,,
722,723,2026-06-30,terça-feira,,
723,724,2026-07-01,quarta-feira,,
724,725,2026-07-02,quinta-feira,,
725,726,2026-07-03,sexta-feira,,
726,727,2026-07-04,sábado,,
