,cod_endereco,cep,logradouro,numero,cod_estado,cod_cidade,cod_bairro,data_criacao,data_alteracao
172,aac3c39b,36.690.249-755,Rua das Artes,700,1,3,5,2000-01-12,2000-01-12
173,56ae6186,48.558.889-411,Rua do Comércio,693,2,13,26,2000-01-12,2000-01-12
174,fe2270e1,31.701.954-636,Rua do Ouro,198,2,12,24,2000-01-12,2000-01-12
175,083d95b8,73.558.582-499,Rua da Água,200,1,9,18,2000-01-12,2000-01-12
176,1e99316d,21.495.410-955,Rua Central,346,2,13,25,2000-01-12,2000-01-12
177,febe8efa,52.972.583-956,Rua dos Escritores,906,2,14,27,2000-01-12,2000-01-12
178,398335e0,40.435.963-247,Rua da Colônia,912,2,18,36,2000-01-12,2000-01-12
179,c6e39e42,10.185.473-973,Rua dos Professores,830,2,20,39,2000-01-12,2000-01-12
180,300c3018,94.786.831-254,Rua do Hospital,126,1,9,17,2000-01-12,2000-01-12
181,cf25edd8,83.608.763-944,Rua da Prefeitura,678,1,7,14,2000-01-12,2000-01-12
182,879ff928,13.520.204-641,Rua das Energias,598,2,13,26,2000-01-12,2000-01-12
183,0e835475,28.728.250-618,Rua Tiradentes,991,2,19,38,2000-01-12,2000-01-12
184,d1c1d694,27.493.691-878,Rua das Oficinas,87,2,13,25,2000-01-12,2000-01-12
185,3303b53d,59.463.389-725,Rua do Hospital,890,2,15,29,2000-01-12,2000-01-12
186,b9660f9b,10.302.299-444,Rua Direita,317,1,9,17,2000-01-12,2000-01-12
187,34a89648,99.752.868-180,Rua Leste,600,1,6,12,2000-01-12,2000-01-12
188,c92507d7,67.460.349-789,Rua da Harmonia,81,2,11,22,2000-01-12,2000-01-12
189,727800e9,10.174.858-273,Rua das Violetas,546,1,3,6,2000-01-12,2000-01-12
190,eccf0c19,92.407.834-175,Rua do Fórum,645,2,12,23,2000-01-12,2000-01-12
191,811d3bde,27.701.254-219,Rua do Cinema,179,1,7,14,2000-01-12,2000-01-12
192,0f47650a,75.938.540-106,Rua do Planeta,386,2,20,39,2000-01-12,2000-01-12
193,e616c108,29.162.654-415,Rua dos Estados,644,2,16,31,2000-01-12,2000-01-12
194,2956432e,53.339.854-999,Rua Primeiro de Maio,438,2,15,30,2000-01-12,2000-01-12
195,92231123,84.744.793-780,Rua dos Engenheiros,134,2,16,31,2000-01-12,2000-01-12
196,e01caa6a,23.155.974-446,Rua da Glória,400,1,10,20,2000-01-12,2000-01-12
197,f92d512b,26.902.918-661,Rua Castro Alves,677,2,12,23,2000-01-12,2000-01-12
198,4dc4032f,59.507.256-898,Rua do Progresso,736,2,18,36,2000-01-12,2000-01-12
199,1f87bba6,13.997.251-670,Rua da Família,212,2,19,38,2000-01-12,2000-01-12
